"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\PlayerCanvas.cs", "C#", 1, -4, -2, -5
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\BettingPanel.cs", "C#", 90, 7, 20, 117
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\ScreenCanvas.cs", "C#", -4, 4, 3, 3
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameTable.cs", "C#", 13, 2, 1, 16
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GeneralManager\AspectRatioController.cs", "C#", -247, -146, -67, -460
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\ListShuffler.cs", "C#", -18, 0, -5, -23
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Player.cs", "C#", 0, 0, 5, 5
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\ScriptTester.cs", "C#", -2, -3, 1, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\UnityMainThread.cs", "C#", -19, 0, -4, -23
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\ExtensionMethods.cs", "C#", 20, 0, 5, 25
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\ListShuffler.cs", "C#", 18, 0, 5, 23
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Util\UnityMainThread.cs", "C#", 19, 0, 4, 23
"Total", "-", -129, -140, -34, -303
